14 янв. 2025 12:34:25,703 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@650856543
14 янв. 2025 12:34:28,989 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@650856543
14 янв. 2025 12:34:28,989 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1655955258
14 янв. 2025 12:34:37,964 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@399715995
14 янв. 2025 12:34:49,001 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@498353260
14 янв. 2025 12:34:49,001 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2038903028
14 янв. 2025 12:34:49,041 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1647732136
14 янв. 2025 12:34:53,366 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@904303566
14 янв. 2025 12:34:53,368 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@137959003
14 янв. 2025 12:35:04,428 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@892867104
14 янв. 2025 12:35:10,284 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@892867104
14 янв. 2025 12:35:10,284 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@498353260
14 янв. 2025 12:35:10,284 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2038903028
14 янв. 2025 12:35:10,285 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1647732136
14 янв. 2025 12:35:10,345 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1659532805
14 янв. 2025 12:35:12,217 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@21905666
14 янв. 2025 12:35:12,243 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1659532805
14 янв. 2025 12:35:12,243 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@21905666
14 янв. 2025 12:35:12,420 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1655955258
14 янв. 2025 12:35:22,888 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@998967962
14 янв. 2025 12:36:22,911 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1415646181
14 янв. 2025 12:38:36,011 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1648304816
14 янв. 2025 12:38:36,017 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@301811028
14 янв. 2025 12:38:37,114 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@301811028
14 янв. 2025 12:38:37,592 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@822986860
14 янв. 2025 12:38:37,662 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@871147448
14 янв. 2025 12:38:37,759 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@871147448
14 янв. 2025 12:38:55,059 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO ExInfoLogger - SQL SESSION OPEN SQL@79616875
14 янв. 2025 12:38:55,181 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@79616875
14 янв. 2025 12:39:05,215 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO ExInfoLogger - SQL SESSION OPEN SQL@840378665
14 янв. 2025 12:50:28,100 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1696525606
14 янв. 2025 12:50:29,102 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1655955258
14 янв. 2025 12:50:29,102 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1696525606
14 янв. 2025 12:50:30,127 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1429133319
14 янв. 2025 12:50:34,026 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1718120543
14 янв. 2025 12:50:34,026 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@705847319
14 янв. 2025 12:50:34,031 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@61644567
14 янв. 2025 12:50:34,772 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@716523621
14 янв. 2025 12:50:34,785 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1675519116
14 янв. 2025 12:50:34,801 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@253212223
14 янв. 2025 12:50:39,869 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@61644567
14 янв. 2025 12:50:39,870 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1718120543
14 янв. 2025 12:50:39,871 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@705847319
14 янв. 2025 12:50:39,871 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@716523621
14 янв. 2025 12:50:39,920 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2115175904
14 янв. 2025 12:50:40,907 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@413401038
14 янв. 2025 12:50:40,915 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@13875666
14 янв. 2025 12:50:41,327 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@13875666
14 янв. 2025 12:50:41,471 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1106939128
14 янв. 2025 12:50:41,645 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1722777781
14 янв. 2025 12:50:41,827 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1722777781
14 янв. 2025 12:50:43,957 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@201574487
14 янв. 2025 12:50:43,981 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@201574487
14 янв. 2025 12:50:43,982 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2115175904
14 янв. 2025 12:50:44,011 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1655955258
14 янв. 2025 12:50:46,103 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@224183620
14 янв. 2025 12:50:46,225 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@224183620
14 янв. 2025 12:50:46,731 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO ExInfoLogger - SQL SESSION OPEN SQL@2085523812
14 янв. 2025 12:50:46,847 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2085523812
14 янв. 2025 12:50:55,040 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO ExInfoLogger - SQL SESSION OPEN SQL@963548471
14 янв. 2025 12:52:04,713 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1871290267
14 янв. 2025 12:52:30,508 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@963548471
14 янв. 2025 12:53:04,752 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1383416135
