14 янв. 2025 12:38:37,650 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@31d1feea
14 янв. 2025 12:39:05,121 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[1687162959 - HockeyStats.teams,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',835845866,SQL@822986860]]
14 янв. 2025 12:39:07,923 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[440475688 - HockeyStats.scoreTable,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',835845866,SQL@822986860]]
14 янв. 2025 12:50:41,633 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@51d17f94
14 янв. 2025 12:50:55,079 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[1580040589 - HockeyStats.scoreTable,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',1372684180,SQL@1106939128]]
14 янв. 2025 12:50:58,306 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[1871956509 - HockeyStats.players,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',1372684180,SQL@1106939128]]
14 янв. 2025 12:51:02,721 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[1545046933 - HockeyStats.scorers,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',1372684180,SQL@1106939128]]
14 янв. 2025 12:51:30,461 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[920515192 - HockeyStats.scoreTable,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',1372684180,SQL@1106939128]]
14 янв. 2025 12:52:37,787 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[1867298754 - HockeyStats.players,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',1372684180,SQL@1106939128]]
14 янв. 2025 12:52:39,020 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[1559876145 - HockeyStats.scoreTable,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',1372684180,SQL@1106939128]]
14 янв. 2025 13:05:08,032 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@29de1ee8
14 янв. 2025 13:05:17,702 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[955805071 - Stats.teamDetails,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
14 янв. 2025 13:05:22,438 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[2139130609 - HockeyStats.teams,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
14 янв. 2025 13:05:28,517 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[984150933 - Stats.teamDetails,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
14 янв. 2025 13:05:30,156 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[400694369 - HockeyStats.teams,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
14 янв. 2025 13:05:31,866 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - executeEventAction started: [ID: 811, SID: _ADDFORMNEWSESSION_HockeyStats_teams_t_HockeyStats_Team()]
14 янв. 2025 13:05:31,872 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[1406425908 - HockeyStats.team,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
14 янв. 2025 13:05:34,385 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,0), value : F
14 янв. 2025 13:05:34,401 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,0)
14 янв. 2025 13:05:35,293 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,1), value : 
14 янв. 2025 13:05:35,301 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,1)
14 янв. 2025 13:05:35,820 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,2), value : А
14 янв. 2025 13:05:35,830 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,2)
14 янв. 2025 13:05:36,163 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,3), value : Ар
14 янв. 2025 13:05:36,175 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,3)
14 янв. 2025 13:05:36,332 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,4), value : Арс
14 янв. 2025 13:05:36,337 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,4)
14 янв. 2025 13:05:36,787 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,5), value : Арсе
14 янв. 2025 13:05:36,792 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,5)
14 янв. 2025 13:05:36,961 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,6), value : Арсен
14 янв. 2025 13:05:36,973 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,6)
14 янв. 2025 13:05:37,124 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,7), value : Арсена
14 янв. 2025 13:05:37,133 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,7)
14 янв. 2025 13:05:37,477 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,8), value : Арсенал
14 янв. 2025 13:05:37,481 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyStats.team, TID - (68),5,RMI Runtime], indices : (-1,0,8)
