14 янв. 2025 12:34:28,918 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 2896, Time : 45, Current connections count : 1
14 янв. 2025 12:34:28,937 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2896, Current connections count : 1
14 янв. 2025 12:34:28,990 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2896, Current connections count : 1
14 янв. 2025 12:34:29,274 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2896, Current connections count : 1
14 янв. 2025 12:34:29,275 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2896, Current connections count : 1
14 янв. 2025 12:34:29,279 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 2896, Current connections count : 1
14 янв. 2025 12:34:29,281 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 2896, Current connections count : 1
14 янв. 2025 12:34:38,011 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 1292, Time : 47, Current connections count : 2
14 янв. 2025 12:34:38,025 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:38,026 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:38,029 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:38,037 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:38,041 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:38,178 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:38,181 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:38,261 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:38,264 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 1292, Current connections count : 2
14 янв. 2025 12:34:46,212 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:46,216 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:46,925 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 2896, Current connections count : 2
14 янв. 2025 12:34:46,929 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2896, Current connections count : 2
